Uniq Id,Crawl Timestamp,Pageurl,Title,Genres,Release Date,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget,Collection,Collection Date
bdce103d6c8ee8206477f5ef43cdd6cf,2019-05-29 12:32:00 +0000,https://www.imdb.com/title/tt6791350/,Guardians of the Galaxy Vol. 3 (2021) - IMDb,"","","","","","Directed by James Gunn. With Elizabeth Debicki, Chris Pratt, Pom Klementieff, Dave Bautista. Plot unknown. Third installment of the 'Guardians of the Galaxy' franchise.","",English,"","","",""
90bd11174adf73475d088f93a2da28da,2019-05-29 12:30:33 +0000,https://www.imdb.com/title/tt1228705/,Iron Man 2 (2010) - IMDb,Action|Adventure|Sci-Fi,7 May 2010 (USA) ,PG-13,7.0,124 min,"Directed by Jon Favreau. With Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle. With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Robert Downey Jr.|Mickey Rourke|Gwyneth Paltrow|Don Cheadle,English|French|Russian,"D.C. Stages, 1360 East 6th Street, Downtown, Los Angeles, California, USA"," $200,000,000  ","$623,933,331,",19 August 2010
df6fc7d029a7e5c214509cbfb513d283,2019-05-29 12:31:05 +0000,https://www.imdb.com/title/tt2015381/,Guardians of the Galaxy (2014) - IMDb,Action|Adventure|Comedy|Sci-Fi,1 August 2014 (USA) ,PG-13,8.1,121 min,"Directed by James Gunn. With Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana. A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.",Chris Pratt|Vin Diesel|Bradley Cooper|Zoe Saldana,English,"Shepperton Studios, Shepperton, Surrey, England, UK"," $170,000,000  ","$774,176,600",""
4f73f64a1b559ac76448fd9347bca974,2019-05-29 12:31:37 +0000,https://www.imdb.com/title/tt1825683/,Black Panther (2018) - IMDb,Action|Adventure|Sci-Fi,16 February 2018 (USA) ,PG-13,7.3,134 min,"Directed by Ryan Coogler. With Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira. T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Chadwick Boseman|Michael B. Jordan|Lupita Nyong'o|Danai Gurira,English|Swahili|Nama|Xhosa|Korean,"Pinewood Atlanta Studios, 461 Sandy Creek Road, Fayetteville, Georgia, USA"," $200,000,000  ","$1,347,071,259",""
35ced81a516bc02c3f303015cb7a068f,2019-05-29 12:30:49 +0000,https://www.imdb.com/title/tt1300854/,Iron Man 3 (2013) - IMDb,Action|Adventure|Sci-Fi,3 May 2013 (USA) ,PG-13,7.2,130 min,"Directed by Shane Black. With Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle. When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Robert Downey Jr.|Guy Pearce|Gwyneth Paltrow|Don Cheadle,English,"Cary, North Carolina, USA"," $200,000,000  ","$1,215,439,994",""
1b678fd492c4e7e9670d9821771d4969,2019-05-29 12:30:25 +0000,https://www.imdb.com/title/tt0800080/,The Incredible Hulk (2008) - IMDb,Action|Adventure|Sci-Fi,13 June 2008 (USA) ,PG-13,6.7,112 min,"Directed by Louis Leterrier. With Edward Norton, Liv Tyler, Tim Roth, William Hurt. Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into, whenever he loses his temper.",Edward Norton|Liv Tyler|Tim Roth|William Hurt,English|Portuguese|Spanish,"Cherry Street Bridge, Toronto, Ontario, Canada"," $150,000,000  ","$263,427,551",""
430d1d4ab49d0606c260e17b0dc0bb93,2019-05-29 12:31:49 +0000,https://www.imdb.com/title/tt4154664/,Captain Marvel (2019) - IMDb,Action|Adventure|Sci-Fi,8 March 2019 (USA) ,PG-13,7.1,123 min,"Directed by Anna Boden, Ryan Fleck. With Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law. Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.",Brie Larson|Samuel L. Jackson|Ben Mendelsohn|Jude Law,English,"Los Angeles, California, USA","","$1,126,318,317,",20 May 2019
c71e93e0f4eb6e5cd73137f051262007,2019-05-29 12:30:21 +0000,https://www.imdb.com/title/tt0371746/,Iron Man (2008) - IMDb,Action|Adventure|Sci-Fi,2 May 2008 (USA) ,PG-13,7.9,126 min,"Directed by Jon Favreau. With Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges. After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Robert Downey Jr.|Gwyneth Paltrow|Terrence Howard|Jeff Bridges,English|Persian|Urdu|Arabic|Hungarian,"Palmdale Regional Airport, Palmdale, California, USA"," $140,000,000  ","$585,174,222,",2 October 2008
f59d540280f7a915c1823908ff695e14,2019-05-29 12:30:38 +0000,https://www.imdb.com/title/tt0800369/,Thor (2011) - IMDb,Action|Adventure|Fantasy|Sci-Fi,6 May 2011 (USA) ,PG-13,7.0,115 min,"Directed by Kenneth Branagh. With Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston. The powerful but arrogant god Thor (Chris Hemsworth) is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Chris Hemsworth|Anthony Hopkins|Natalie Portman|Tom Hiddleston,English,"Galisteo, New Mexico, USA"," $150,000,000  ","$449,326,618",""
26f5c6056bfbbfe50d427cd97845c899,2019-05-29 12:31:19 +0000,https://www.imdb.com/title/tt3498820/,Captain America: Civil War (2016) - IMDb,Action|Adventure|Sci-Fi,6 May 2016 (USA) ,PG-13,7.8,147 min,"Directed by Anthony Russo, Joe Russo. With Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan. Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.",Chris Evans|Robert Downey Jr.|Scarlett Johansson|Sebastian Stan,English|German|Xhosa|Russian|Romanian|Hindi,"Atlanta, Georgia, USA"," $250,000,000  ","$1,153,304,495",""
